plu_no,description
238,ASIAN PORK STRIPS
239,PREMIUM PORK SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
240,DICED PORK
241,PORK TROTTERS
242,PORK HOCKS
243,PORK RIND
244,PORK BONES
245,PORK VEAL MINCE NO PRESERVATIVE
246,PORK FRENCHED CUTLET
247,PORK MINCE NO PRESERVATIVE
248,PORK ESCALOPES
249,PORK CHEEK-JOWL
250,PORK MINCE NO PRESERVATIVE
251,MARINATED PORK STRIPS
252,MARINATED PORK SCOTCH
253,PORKERHOUSE CORNED CONTAINS NITRITE
254,PORK RACK
255,PORK & VEAL SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
256,PORK SATAY
257,PORK BOSTON BUTT
300,VEAL TENDERLOIN
301,VEAL TENDERLOIN SLICED
302,VEAL BACKSTRAP
303,VEAL RACK
304,VEAL FRENCHED CUTLETS
305,VEAL RIB STEAK
306,VEAL RUMP
307,VEAL TOPSIDE
308,VEAL KNUCKLE
309,VEAL SILVERSIDE
310,VEAL CHUCK TENDER
311,VEAL ESCALOPS
312,VEAL SCHNITZEL CRUMED
313,VEAL SETS
314,VEAL MINCE NO PRESERVATIVE
315,DICED VEAL
316,VEAL SHANKS
317,VEAL SHANKS FRENCHED
318,VEAL SHANKS TIPPED
319,VEAL SCHNTZEL PLAIN
320,VEAL OSSO BUCCO
321,VEAL BLADE
322,VEAL BLADE STEAK
323,VEAL GIRELLO
324,VEAL SCALLOPINI
325,PLAIN VEAL SCHNITZEL
326,PREMIUM VEAL SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
330,VEAL STRIPS
333,VEAL STEAK
394,ANGUS SCHNITZEL
395,SAGE AND ONION CHICKEN SCHNITZEL
396,SAGE AND ONION SCHNITZEL
397,HERB AND GARLIC THIGH SCHNITZEL
398,HERB AND GARLIC BEEF SCHNITZEL
399,COARSE FINE PARSLEY AND PARMESION
400,CHICKEN WINGS FROZEN
401,DICED CHICKEN
402,BEEF TONGUES CORNED CONTAINS NITRITE
403,BEEF TAILS
404,BEEF TAILS JOINTED
405,BEEF KIDNEYS
406,BEEF KIDNEY DICED
407,VEAL LIVER
408,VEAL SWEETBREADS
409,LAMB FRIES
410,LAMBS FRY SLICED
411,LAMBS BRAINS
412,LAMB KIDNEY
413,LAMB KIDNEY DICED
414,LAMB HEARTS
415,PORK CAUL FAT
416,PORK BACKFAT
417,CHICKEN LIVER
418,CHICKEN BONES
419,DUCK LIVER
420,LAMB SWEETBREADS
421,CHICKEN NECKS
422,CHICKEN HEARTS
423,CHICKEN SKIN
424,GIRELLO SCHNITZEL
425,CRUMBED WAGYU SCHNITZEL
427,LAMB TONGUES
428,LAMB PLUCK
429,BEEF HEARTS
430,BEEF SUET
431,PORK LIVER
432,BONE MARROW
433,BEEF SAUSAGES
434,PORK SAUSAGES
451,SAUSAGE MEAT
500,THIN SAUSAGES
501,THICK SAUSAGES
502,NATURAL SKIN THIN SAUSAGES
503,THIN PORK SAUSAGES
504,THICK PORK SAUSAGES
505,BRATWURST SAUSAGES
506,CHEESE & TOMATO SAUSAGES
507,CHARGRILL SAUSAGES
508,CONTINENTAL SAUSAGES
509,ROSEMARY & GRARLIC SAUSAGES
510,LAMB & APRICOT SAUSAGES
511,CHICKEN & HERB SAUSAGES
512,SATAY SAUSAGES
513,STEAK SAUSAGES
514,BEEF & BURBANDY SAUSAGES
515,SAUSAGE MEAT PRESERVATIVE 223 ADDED SULPHITE >10MG/KG
516,CRUMBED PATTIES
517,CHEVAPCHICHI
518,STEAKETTES
519,"BEEF BURGERS MAY CONTAIN GLUTEN, SOY & SULPHITES"
520,CHIPOLATAS
521,LAMB SAUSAGES
522,APPLE SAGE ROSEMARY SAUSAGES
523,SICILIAN SAUSAGES
524,PERUVIAN SPICE SAUSAGES
525,CRUMBED SAUSAGES
526,CHICKEN RISSOLES
527,CORDON BLEU
528,"MIXED GRILL MAY CONTAIN GLUTEN, SOY & SULPHITES"
529,"MEAT TRAY MAY CONTAIN GLUTEN, SOY & SULPHITES"
530,"150 GM HAMBURGERS MAY CONTAIN GLUTEN, SOY & SULPHITES"
531,ITALIAN SAUSAGES
532,COUNTRY STYLE SAUSAGE
533,"ANGUS BURGERS MAY CONTAIN GLUTEN, SOY & SULPHITES"
534,"CHURCHILL BURGERS MAY CONTAIN GLUTEN, SOY & SULPHITES"
535,PORK & TRUFFLE CHIPOLATAS
536,PORK CHIPOLATAS
537,PORK & SAGE CHIPOLATAS
538,FROZEN HOLCO CHICKEN PATTIE
539,HOLCO KOFTA FROZEN
540,ARGENTINIAN SAUSAGES
541,"120GM ANGEL BAY BURGER MAY CONTAIN GLUTEN, SOY & SULPHITES"
542,"180GM ANGEL BAY BURGER MAY CONTAIN GLUTEN, SOY & SULPHITES"
543,"CHURCHILL BURGER MAY CONTAIN GLUTEN, SOY & SULPHITES"
544,"LAMB BURGER MEDITERRANEAN MAY CONTAIN GLUTEN, SOY & SULPHITES"
545,"WAGYU BURGER MAY CONTAIN GLUTEN, SOY & SULPHITES"
546,"170GM ANGAS BURGER MAY CONTAIN GLUTEN, SOY & SULPHITES"
547,CROCODILE SAUSAGES
548,KANGAROO SAUSAGES
549,CHICKEN SUN DRIED TOMATO SAUSAGES
